"","dd_KSCOAR_dam.df","dd_KSCOAR_dam.logLik","dd_KSCOAR_dam.AICc","dd_KSCOAR_dam.delta","dd_KSCOAR_dam.weight"
"128",21,593.164480680415,-1140.05118358305,7.24288695200562,0.00166687111250353
"129",20,591.93471902816,-1139.99847031438,7.29560022067335,0.00162351191142038
"130",20,591.923823991985,-1139.97668024203,7.31739029302253,0.00160591969833319
"131",20,591.902980576054,-1139.93499341017,7.35907712488552,0.00157279327927379
"132",20,591.897064969124,-1139.92316219631,7.37090833874504,0.00156351671774995
"133",20,591.845128090734,-1139.81928843953,7.47478209552492,0.00148438524778119
"134",19,590.594020554453,-1139.7018025768,7.59226795826135,0.00139969979378605
"135",20,591.77649929101,-1139.68203084009,7.61203969497205,0.00138593071766255
"136",18,589.386496229287,-1139.64970478734,7.64436574771594,0.00136370994414791
"137",20,591.730129230319,-1139.5892907187,7.70477981635463,0.00132313226220791
"138",18,589.335100129091,-1139.54691258695,7.74715794810845,0.00129539126634804
"139",18,589.334786455263,-1139.54628523929,7.74778529576361,0.00129498499973224
"140",20,591.679674980163,-1139.48838221839,7.80568831666756,0.0012580307498407
"141",20,591.659743029845,-1139.44851831775,7.84555221730375,0.00123320398825681
"142",18,589.282351348083,-1139.44141502493,7.85265551012503,0.00122883185247442
"143",18,589.280104169831,-1139.43692066843,7.85714986662765,0.00122607354862198
"144",18,589.246732417268,-1139.3701771633,7.92389337175473,0.00118583251695466
"145",20,591.614971503199,-1139.35897526446,7.9350952705945,0.0011792092944883
"146",20,591.608656712716,-1139.3463456835,7.94772485156068,0.00117178629686224
"147",21,592.810825053346,-1139.34387232892,7.95019820614243,0.00117033807103772
"148",18,589.231805690176,-1139.34032370912,7.95374682593774,0.00116826336974049
"149",18,589.215031026039,-1139.30677438084,7.9872961542128,0.00114882959729436
"150",19,590.394660687865,-1139.30308284362,7.99098769143666,0.00114671107943157
"151",19,590.38823254032,-1139.29022654853,8.00384398652864,0.00113936349240794
"152",21,592.774744140969,-1139.27171050416,8.0223600308982,0.00112886391756109
"153",19,590.376223491691,-1139.26620845127,8.02786208378507,0.0011257626508621
"154",21,592.768894007497,-1139.26001023722,8.03406029784037,0.00112227919251253
"155",18,589.179723967127,-1139.23616026302,8.05791027203668,0.00110897550840613
"156",19,590.353704417377,-1139.22117030264,8.07290023241262,0.00110069482946768
"157",18,589.171466732799,-1139.21964579437,8.07442474069194,0.0010998561399653
