"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams","streamsum","over"
"20","MNESC","ZBAR1",-99.23279,-98.987271,37.22316,37.103899,0.00208744056592833,0.184912443465151,0.808709265916734,0.00429085005218601,0,51804.4524977446,63459.7293321563,1665.31616875341,0,65125.0455009097,1.2571322031392
"21","MNESC","ZBAR2",-99.23279,-98.991953,37.22316,37.092788,0.00120373156786037,0.174300331026181,0.820042130604875,0.00445380680108336,0,49963.7017293917,61148.0877533237,1665.31616875341,0,62813.4039220771,1.25718074818156
"22","MULE3","MULE5",-99.04404,-99.20602,37.28111,37.33461,0.0709501646043819,0.117606992848223,0.716880463162675,0.0393915313883528,0.0551708479963674,25744.046021798,32416.5275101043,0,0,32416.5275101043,1.25918542418144
"23","MULE3","MULEJP",-99.04404,-98.980556,37.28111,37.112351,0.0438344504734546,0.0835195233535482,0.86594318544526,0.00425577189062666,0.00244706883711033,27004.5365008245,33848.0847839988,0,0,33848.0847839988,1.25342217160311
"24","MULE3","SFARDJ",-99.04404,-99.162801,37.28111,37.091044,0.0226530814126026,0.109753684835295,0.858195667227223,0.00489662676822633,0.00450093975665249,58232.7840935109,73095.1713803799,0,0,73095.1713803799,1.25522371149219
"25","MULE3","ZBAR1",-99.04404,-98.987271,37.28111,37.103899,0.0421052631578947,0.100852130325815,0.850726817042607,0.00401002506265664,0.00230576441102757,28655.4414222131,35925.1731576839,0,0,35925.1731576839,1.25369463441018
"26","MULE3","ZBAR2",-99.04404,-98.991953,37.28111,37.092788,0.0411010558069382,0.119626696832579,0.833333333333333,0.00377073906485671,0.00216817496229261,30496.192190566,38235.6798417125,0,0,38235.6798417125,1.25378537762301
"27","MULE5","MULEJP",-99.20602,-98.980556,37.33461,37.112351,0.0571286910533275,0.100319524019392,0.793686646099603,0.0208241516086382,0.0280409872190392,52748.5825226224,66252.6188322025,0,0,66252.6188322025,1.25600756766854
"28","MULE5","SFARDJ",-99.20602,-99.162801,37.33461,37.091044,0.0373822097960029,0.112353733043388,0.81526353940147,0.0150840495668082,0.0199164681923303,83976.8301153089,105499.705428584,0,0,105499.705428584,1.25629540057325
"29","MULE5","ZBAR1",-99.20602,-98.987271,37.33461,37.103899,0.0557988039299445,0.109034600598035,0.787804357112345,0.0201836821870995,0.0271785561725758,54399.4874440111,68329.7072058877,0,0,68329.7072058877,1.25607262892346
"30","MULE5","ZBAR2",-99.20602,-98.991953,37.33461,37.092788,0.0548008883838645,0.11905376788389,0.780331594442436,0.0195237849284644,0.026289964361345,56240.2382123639,70640.2138899163,0,0,70640.2138899163,1.25604400221738
"31","MULEJP","SFARDJ",-98.980556,-99.162801,37.112351,37.091044,0.0042306631104571,0.131886323921641,0.852202703945553,0.00542628529384714,0.00625402372850179,31228.2475926865,39257.360067248,0,0,39257.360067248,1.25711056794752
"32","MULEJP","ZBAR1",-98.980556,-98.987271,37.112351,37.103899,0.0126984126984127,0.350793650793651,0.636507936507936,0,0,1650.90492138865,2087.36184455197,0,0,2087.36184455197,1.26437435463951
"33","MULEJP","ZBAR2",-98.980556,-98.991953,37.112351,37.092788,0.0190023752969121,0.383214568487728,0.59778305621536,0,0,3491.65568974149,4397.86852858053,0,0,4397.86852858053,1.25953671248328
"34","SFARDJ","ZBAR1",-99.162801,-98.987271,37.091044,37.103899,0.00369039526075556,0.121685927940177,0.862289987374964,0.00572982422064679,0.00660386520345732,29577.3426712978,37182.063356163,0,0,37182.063356163,1.25711304661067
"35","SFARDJ","ZBAR2",-99.162801,-98.991953,37.091044,37.092788,0.00227601903579557,0.0993171942892613,0.88526794951376,0.00610386923236085,0.00703496792882268,27736.591902945,34870.4217773304,0,0,34870.4217773304,1.25719922257745
"36","ZBAR1","ZBAR2",-98.987271,-98.991953,37.103899,37.092788,0.0232896652110626,0.441048034934498,0.53566229985444,0,0,1840.75076835284,2322.57181749552,0,0,2322.57181749552,1.2617524639546
