FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
69,Point,SFNJM,SFNinnescah,-98.366483,37.642316,485476,South Fork Ninnescah River,3.154,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.14554
70,Point,CHIK2,Chikaskia,-98.44658,37.51179, , ,0.491,460,STREAM/RIVER,46006,Perennial,0.942127
71,Point,CIM1,Cimarron,-99.48258,37.02645,1091369,Cimarron River,2.042,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,3.762785
72,Point,CIMTW2,Cimarron,-99.488196,37.028878,1091369,Cimarron River,2.042,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,9.788515
73,Point,QNWR1,Rattlesnake,-98.50794,38.10052,475886,Rattlesnake Creek,9.908,460,STREAM/RIVER,46006,Perennial,0.19448
74,Point,RATTLE9,Rattlesnake,-98.546,38.09336,475886,Rattlesnake Creek,9.908,460,STREAM/RIVER,46006,Perennial,2.252652
75,Point,MLR1,Medicine,-98.59007,37.27553,1095291,Medicine Lodge River,2.119,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,7.459005
76,Point,MLRLW2,Medicine,-98.595452,37.270713,1095291,Medicine Lodge River,2.119,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,3.990551
77,Point,BWWA7,SFNinnescah,-98.33222,37.63909, , ,0.291,460,STREAM/RIVER,46006,Perennial,17.985031
78,Point,CHIK4,Chikaskia,-98.37337,37.47151, , ,0.529,460,STREAM/RIVER,46006,Perennial,1.321966
79,Point,NFN3,NFNinnescah,-98.49034,37.91429,473800,North Fork Ninnescah River,5.466,460,STREAM/RIVER,46006,Perennial,4.508253
80,Point,WSU3,SFNinnescah,-97.95135,37.68016,473967,Smoots Creek,0.629,460,STREAM/RIVER,46006,Perennial,5.013756
81,Point,CCDC,LowerArk,-97.96673,38.07059, , ,3.341,460,STREAM/RIVER,46006,Perennial,6.515855
82,Point,ZANG,SFNinnescah,-98.77637,37.64541, , ,4.142,460,STREAM/RIVER,46006,Perennial,4.049367
83,Point,CHN8,NFNinnescah,-97.90273,37.802728, , ,2.073,460,STREAM/RIVER,46006,Perennial,12.8383
84,Point,INDDS,SaltFork,-99.048232,37.134068,470838,Indian Creek,0.791,460,STREAM/RIVER,46006,Perennial,9.61046
85,Point,QNWR2,Rattlesnake,-98.5,38.13263,475883,West Canal,1.049,336,CANAL/DITCH,33600,CANAL/DITCH,2.163147
86,Point,BWWA10,SFNinnescah,-98.254876,37.644541, , ,0.027088,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.278107
87,Point,CHIK16,Chikaskia,-97.9898,37.4384, , ,1.717,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.677023
88,Point,CNCSC,LowerArk,-97.100633,37.089866,470041,Spring Creek,2.669,460,STREAM/RIVER,46006,Perennial,0.74118
89,Point,BWWA12,SFNinnescah,-98.25762,37.6431, , ,0.648887,460,STREAM/RIVER,46003,Intermittent,3.790137
90,Point,WSU2,SFNinnescah,-97.95137,37.67976, , ,1.089,460,STREAM/RIVER,46006,Perennial,7.497273
91,Point,SAND2,Chikaskia,-98.28194,37.4175, , ,2.981,460,STREAM/RIVER,46003,Intermittent,1.058215
92,Point,CHIK9,Chikaskia,-98.1632,37.43876, , ,0.927,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.257672
93,Point,CRCRK2,Cimarron,-100.32962,37.09197,470687,Crooked Creek,1.91,460,STREAM/RIVER,46006,Perennial,7.321769
94,Point,BLUFF160,Cimarron,-99.50246,37.19238,470823,Bluff Creek,16.783,460,STREAM/RIVER,46006,Perennial,6.462402
95,Point,CHIK25,Chikaskia,-97.76067,37.244, , ,0.406,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.524887
96,Point,SILVERH2O,NFNinnescah,-98.252983,37.85173,473784,Silver Creek,0.384,460,STREAM/RIVER,46006,Perennial,4.742059
97,Point,2008-24,NFNinnescah,-97.86792,37.74844, , ,0.862,460,STREAM/RIVER,46003,Intermittent,9.179876
98,Point,USMC,SFNinnescah,-98.12421,37.74847, , ,2.917,460,STREAM/RIVER,46003,Intermittent,118.721514
99,Point,ARK4,LowerArk,-98.684,38.35282,78956,Arkansas River,0.383,460,STREAM/RIVER,46006,Perennial,0.869127
100,Point,SILVER01,NFNinnescah,-98.32166,37.82431,473784,Silver Creek,2.939,460,STREAM/RIVER,46006,Perennial,11.810843
101,Point,MLRLW,Medicine,-98.591065,37.263947,1095291,Medicine Lodge River,0.723,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,11.00746
102,Point,CHN1,NFNinnescah,-97.91703,37.83875,473800,North Fork Ninnescah River,2.093,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,5.797701
103,Point,4THST,LowerArk,-97.99403,38.05728,78956,Arkansas River,3.493,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,40.988724
104,Point,BWWA9,SFNinnescah,-98.30233,37.64219, , ,1.723,460,STREAM/RIVER,46003,Intermittent,5.304457
105,Point,CHN3,NFNinnescah,-97.89163,37.77217, , ,0.609,460,STREAM/RIVER,46006,Perennial,1.360483
106,Point,WOLF01,NFNinnescah,-98.32512,37.8305,473777,Wolf Creek,1.371,460,STREAM/RIVER,46006,Perennial,0.038424
107,Point,NESS2,Walnut,-100.052172,38.503783,475587,North Fork Walnut Creek,1.314,460,STREAM/RIVER,46006,Perennial,0.08872
108,Point,CHN2,NFNinnescah,-97.83884,37.72523, , ,1.008,460,STREAM/RIVER,46003,Intermittent,22.956164
109,Point,BWWA11,SFNinnescah,-98.26425,37.64511, , ,4.134782,460,STREAM/RIVER,46003,Intermittent,11.011235
110,Point,CIM2,Cimarron,-99.63211,37.0635,1091369,Cimarron River,8.199,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,3.362361
111,Point,CIMAB,Cimarron,-99.637778,37.062706,1091369,Cimarron River,8.199,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,13.240048
112,Point,CIMABRW1,Cimarron,-99.615206,37.066483,1091369,Cimarron River,8.199,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,20.855267
113,Point,ARK22,LowerArk,-97.30173,37.58532, , ,3.743706,460,STREAM/RIVER,46003,Intermittent,2.859785
114,Point,MLRBB,Medicine,-98.556693,37.228776,1095291,Medicine Lodge River,3.962,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,12.498384
115,Point,MLPARK1,Medicine,-98.57507,37.27793, , ,1.574,460,STREAM/RIVER,46003,Intermittent,1.588953
116,Point,MLPARK2,Medicine,-98.57575,37.27649, , ,1.574,460,STREAM/RIVER,46003,Intermittent,2.08875
117,Point,CARYP,LowerArk,-97.92588,38.0271,78956,Arkansas River,3.952,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,12.07587
118,Point,CHIK6,Chikaskia,-98.2821,37.47369, , ,1.243,460,STREAM/RIVER,46006,Perennial,3.48857
119,Point,CAV1,Cimarron,-99.34599,37.26467,470824,Cavalry Creek,0.169,460,STREAM/RIVER,46006,Perennial,5.198951
120,Point,ARK23,LowerArk,-97.29301,37.57336, , ,1.609,460,STREAM/RIVER,46003,Intermittent,10.248119
