"","site","meta","long","lat"
"1157","NFNINN","NFNinnescah",-98.01358,37.86328
"1162","NFNINNSF","NFNinnescah",-98.5269,37.91027
"1167","NFNTS","NFNinnescah",-97.737699,37.613479
"1172","NFOLD14","NFNinnescah",-98.17896,37.9045
"1180","NINNR1","SFNinnescah",-97.69138,37.56208
"1184","NTELM","Medicine",-98.65506,37.45625
"1187","NTNR1","SFNinnescah",-97.56127,37.51865
"1197","OKLA","Cimarron",-99.4553,36.99892
"1202","PAINTER","SFNinnescah",-98.39211,37.58871
"1212","PECK","LowerArk",-98.24692,38.1588
"1218","QNWR1","Rattlesnake",-98.50794,38.10052
"1227","QNWR2","Rattlesnake",-98.5,38.13263
"1229","QNWR3","Rattlesnake",-98.543289,38.158178
"1236","QNWR4","Rattlesnake",-98.55292,38.16189
"1246","QNWR5","Rattlesnake",-98.55656,38.1604
"1254","QNWR6","Rattlesnake",-98.57553,38.15858
"1264","QNWR7","Rattlesnake",-98.54501,38.20189
"1270","QNWR8","Rattlesnake",-98.48615,38.22254
"1278","RATT2016","Rattlesnake",-98.38023,38.23193
"1281","RATTLE1","Rattlesnake",-98.922868,37.858188
"1291","RATTLE2","Rattlesnake",-98.85284,37.880905
"1301","RATTLE3","Rattlesnake",-98.878166,37.867076
"1310","RATTLE4","Rattlesnake",-98.98591,37.83914
"1318","RATTLE5","Rattlesnake",-98.80733,37.97086
"1322","RATTLE6","Rattlesnake",-98.71805,38.08023
"1332","RATTLE7","Rattlesnake",-98.71077,38.08563
"1341","RATTLE8","Rattlesnake",-98.67424,38.08025
"1349","RATTLE9","Rattlesnake",-98.546,38.09336
"1351","RRC","NFNinnescah",-98.01379,37.9018
"1359","SAND1","Chikaskia",-98.42905,37.38552
"1368","SAND2","Chikaskia",-98.28194,37.4175
"1377","SAND3","Chikaskia",-98.28191,37.41125
"1386","SANDKM","SFNinnescah",-97.97228,37.58982
"1391","SANDSG","SFNinnescah",-97.77098,37.50294
"1399","SFARDJ","SaltFork",-99.162801,37.091044
"1404","SFN1","SFNinnescah",-98.11176,37.6412
"1412","SFNDB","SFNinnescah",-98.417577,37.661645
"1414","SFNJM","SFNinnescah",-98.366483,37.642316
"1419","SFNMB","SFNinnescah",-98.09923,37.63677
"1423","SFNR1","SFNinnescah",-98.64508,37.64548
"1433","SFNR2","SFNinnescah",-98.67993,37.63141
"1439","SFNR3","SFNinnescah",-98.736533,37.633405
"1442","SFNR4","SFNinnescah",-98.76689,37.63992
"1451","SFNR5","SFNinnescah",-97.77283,37.60068
"1458","SFNR6","SFNinnescah",-98.55657,37.6584
"1468","SFNR7","SFNinnescah",-97.97243,37.60412
"1472","SFNR8","SFNinnescah",-97.91229,37.56114
"1480","SILVER01","NFNinnescah",-98.32166,37.82431
"1489","SILVERH2O","NFNinnescah",-98.252983,37.85173
"1499","SLATE1","LowerArk",-97.642435,37.419675
"1502","SLATE2","LowerArk",-97.749168,37.430152
"1505","SLATE3","LowerArk",-97.733499,37.444234
"1507","SLATE4","LowerArk",-97.731541,37.445164
"1516","SNAKE","Cimarron",-99.60752,37.06238
"1519","SOLD","Medicine",-99.03834,37.43808
"1524","SPNGR1","SpringRiver",-94.64565,37.18446
"1534","SPRINGSG","SFNinnescah",-97.57556,37.5333
"1544","STSC1","SpringRiver",-94.619135,37.02919
"1551","TBSY","Cimarron",-100.14477,37.17114
"1553","TCHA","Medicine",-98.924523,37.374674
"1558","TEASLY","SFNinnescah",-98.76891,37.63631
"1563","TNFN1","NFNinnescah",-97.77153,37.6497
"1573","TNFNHWY50","NFNinnescah",-98.33718,37.98412
"1583","TURKY","Medicine",-98.9485,37.49939
"1593","USMC","SFNinnescah",-98.12421,37.74847
"1603","WALNUT","LowerArk",-98.68261,38.35423
"1611","WELM","Medicine",-98.77396,37.43821
"1616","WOLF01","NFNinnescah",-98.32512,37.8305
"1624","WSU1","SFNinnescah",-97.94712,37.67714
"1634","WSU2","SFNinnescah",-97.95137,37.67976
"1639","WSU3","SFNinnescah",-97.95135,37.68016
"1649","WSU4","SFNinnescah",-97.94579,37.68061
"1659","ZANG","SFNinnescah",-98.77637,37.64541
"1669","ZBAR1","SaltFork",-98.987271,37.103899
"1670","ZBAR2","SaltFork",-98.991953,37.092788
"1676","JCC","Colorado",-104.6887155,38.68448
"1685","BSC","Colorado",-104.2020784,39.101569
"1691","UTFC","Colorado",-104.596428,38.439703
"1702","BFC","Colorado",-102.3112995,38.148682
"1714","RSHC","Colorado",-103.346613,38.793115
"1725","HESPR","SpringRiver",-94.2711,36.2593
"1735","LIBR","SpringRiver",-94.227,36.288
"1745","PAHO","SpringRiver",-94.407,36.226
"1755","SVGC","SpringRiver",-94.227,36.288
"1765","TUSPR","SpringRiver",-94.3026,36.1522
"1775","WISPR","SpringRiver",-94.1842,36.1065
