ind,site,meta
1116,BWWA7,South Fork Ninnescah River
1117,BWWA7,South Fork Ninnescah River
1118,BWWA7,South Fork Ninnescah River
1129,BWWA8,South Fork Ninnescah River
1130,BWWA8,South Fork Ninnescah River
1131,BWWA8,South Fork Ninnescah River
1132,BWWA8,South Fork Ninnescah River
1133,BWWA8,South Fork Ninnescah River
1134,BWWA8,South Fork Ninnescah River
1135,BWWA8,South Fork Ninnescah River
1136,BWWA8,South Fork Ninnescah River
1137,BWWA8,South Fork Ninnescah River
1138,BWWA8,South Fork Ninnescah River
1149,BWWA9,South Fork Ninnescah River
1150,BWWA9,South Fork Ninnescah River
1151,BWWA9,South Fork Ninnescah River
1152,BWWA9,South Fork Ninnescah River
1154,BWWA9,South Fork Ninnescah River
1155,BWWA9,South Fork Ninnescah River
1156,BWWA9,South Fork Ninnescah River
1157,BWWA9,South Fork Ninnescah River
1170,CAL160,Cimarron River
1171,CAL160,Cimarron River
1172,CAL160,Cimarron River
1173,CAL160,Cimarron River
1174,CAL160,Cimarron River
1175,CAL160,Cimarron River
1176,CAL160,Cimarron River
1177,CAL160,Cimarron River
1178,CAL160,Cimarron River
1185,CARYP,Lower Arkansas River
1186,CARYP,Lower Arkansas River
1187,CARYP,Lower Arkansas River
1189,CARYP,Lower Arkansas River
1190,CARYP,Lower Arkansas River
1191,CARYP,Lower Arkansas River
1192,CARYP,Lower Arkansas River
1193,CARYP,Lower Arkansas River
1194,CARYP,Lower Arkansas River
1198,CAV1,Cimarron River
1199,CAV1,Cimarron River
1200,CAV1,Cimarron River
1201,CAV1,Cimarron River
1202,CAV1,Cimarron River
1203,CAV1,Cimarron River
1204,CAV1,Cimarron River
1205,CAV1,Cimarron River
1206,CAV1,Cimarron River
1207,CAV1,Cimarron River
1218,CAV2,Cimarron River
1219,CAV2,Cimarron River
1220,CAV2,Cimarron River
1221,CAV2,Cimarron River
1222,CAV2,Cimarron River
1223,CAV2,Cimarron River
1224,CAV2,Cimarron River
1225,CAV2,Cimarron River
1226,CAV2,Cimarron River
1227,CCBS,Cimarron River
1228,CCBS,Cimarron River
1229,CCBS,Cimarron River
1230,CCBS,Cimarron River
1231,CCBS,Cimarron River
1232,CCDC,Lower Arkansas River
1233,CCDC,Lower Arkansas River
1234,CCDC,Lower Arkansas River
1235,CCDC,Lower Arkansas River
1236,CCDC,Lower Arkansas River
1238,CCDC,Lower Arkansas River
1239,CCDC,Lower Arkansas River
1240,CCDC,Lower Arkansas River
1241,CCDC,Lower Arkansas River
1244,CHIK1,Chikaskia River
1245,CHIK1,Chikaskia River
1246,CHIK1,Chikaskia River
1247,CHIK1,Chikaskia River
1248,CHIK1,Chikaskia River
1249,CHIK1,Chikaskia River
1250,CHIK10,Chikaskia River
1251,CHIK10,Chikaskia River
1252,CHIK10,Chikaskia River
1253,CHIK10,Chikaskia River
1255,CHIK10,Chikaskia River
1256,CHIK10,Chikaskia River
1257,CHIK10,Chikaskia River
1258,CHIK10,Chikaskia River
1259,CHIK10,Chikaskia River
1266,CHIK11,Chikaskia River
1267,CHIK11,Chikaskia River
1268,CHIK11,Chikaskia River
1269,CHIK11,Chikaskia River
1270,CHIK11,Chikaskia River
1273,CHIK11,Chikaskia River
1274,CHIK11,Chikaskia River
1275,CHIK11,Chikaskia River
1276,CHIK11,Chikaskia River
1277,CHIK11,Chikaskia River
1278,CHIK11,Chikaskia River
1280,CHIK11,Chikaskia River
1281,CHIK11,Chikaskia River
1282,CHIK11,Chikaskia River
1283,CHIK11,Chikaskia River
1284,CHIK11,Chikaskia River
1285,CHIK12,Chikaskia River
1286,CHIK12,Chikaskia River
1287,CHIK12,Chikaskia River
1288,CHIK13,Chikaskia River
1289,CHIK13,Chikaskia River
1290,CHIK13,Chikaskia River
1291,CHIK13,Chikaskia River
1292,CHIK13,Chikaskia River
1293,CHIK13,Chikaskia River
1294,CHIK13,Chikaskia River
1295,CHIK13,Chikaskia River
1296,CHIK13,Chikaskia River
1297,CHIK14,Chikaskia River
1298,CHIK14,Chikaskia River
1299,CHIK15,Chikaskia River
1300,CHIK15,Chikaskia River
1301,CHIK15,Chikaskia River
1302,CHIK16,Chikaskia River
1303,CHIK16,Chikaskia River
1304,CHIK16,Chikaskia River
1305,CHIK16,Chikaskia River
1306,CHIK16,Chikaskia River
1307,CHIK17,Chikaskia River
1308,CHIK17,Chikaskia River
1309,CHIK17,Chikaskia River
1310,CHIK17,Chikaskia River
1311,CHIK17,Chikaskia River
1312,CHIK17,Chikaskia River
1313,CHIK18,Chikaskia River
1314,CHIK18,Chikaskia River
1315,CHIK18,Chikaskia River
1316,CHIK18,Chikaskia River
1317,CHIK18,Chikaskia River
1318,CHIK19,Chikaskia River
1319,CHIK19,Chikaskia River
1320,CHIK19,Chikaskia River
1321,CHIK19,Chikaskia River
1322,CHIK19,Chikaskia River
1323,CHIK19,Chikaskia River
1324,CHIK19,Chikaskia River
1325,CHIK19,Chikaskia River
1326,CHIK2,Chikaskia River
1327,CHIK2,Chikaskia River
1328,CHIK2,Chikaskia River
1329,CHIK2,Chikaskia River
1330,CHIK2,Chikaskia River
1332,CHIK21,Chikaskia River
1333,CHIK21,Chikaskia River
1334,CHIK21,Chikaskia River
1335,CHIK22,Chikaskia River
1336,CHIK22,Chikaskia River
1337,CHIK22,Chikaskia River
1338,CHIK22,Chikaskia River
1340,CHIK23,Chikaskia River
1341,CHIK23,Chikaskia River
1342,CHIK23,Chikaskia River
1344,CHIK23,Chikaskia River
1349,CHIK23,Chikaskia River
1350,CHIK23,Chikaskia River
1351,CHIK23,Chikaskia River
1352,CHIK23,Chikaskia River
1354,CHIK23,Chikaskia River
1355,CHIK23,Chikaskia River
1356,CHIK23,Chikaskia River
1358,CHIK23,Chikaskia River
1359,CHIK24,Chikaskia River
1360,CHIK24,Chikaskia River
1361,CHIK25,Chikaskia River
1362,CHIK25,Chikaskia River
1363,CHIK25,Chikaskia River
1364,CHIK25,Chikaskia River
1365,CHIK25,Chikaskia River
1366,CHIK25,Chikaskia River
1367,CHIK25,Chikaskia River
1368,CHIK25,Chikaskia River
1369,CHIK26,Chikaskia River
1370,CHIK26,Chikaskia River
1371,CHIK26,Chikaskia River
1372,CHIK26,Chikaskia River
1373,CHIK26,Chikaskia River
1374,CHIK26,Chikaskia River
1375,CHIK26,Chikaskia River
1376,CHIK26,Chikaskia River
1377,CHIK27,Chikaskia River
1378,CHIK27,Chikaskia River
1379,CHIK27,Chikaskia River
1382,CHIK3,Chikaskia River
1383,CHIK3,Chikaskia River
1384,CHIK3,Chikaskia River
1385,CHIK3,Chikaskia River
1386,CHIK3,Chikaskia River
1387,CHIK3,Chikaskia River
1388,CHIK4,Chikaskia River
1389,CHIK4,Chikaskia River
1390,CHIK4,Chikaskia River
1391,CHIK4,Chikaskia River
1393,CHIK4,Chikaskia River
1394,CHIK4,Chikaskia River
1395,CHIK4,Chikaskia River
1396,CHIK4,Chikaskia River
1397,CHIK4,Chikaskia River
1398,CHIK5,Chikaskia River
1399,CHIK5,Chikaskia River
1400,CHIK6,Chikaskia River
1401,CHIK6,Chikaskia River
1402,CHIK6,Chikaskia River
1403,CHIK6,Chikaskia River
1405,CHIK6,Chikaskia River
1406,CHIK6,Chikaskia River
1407,CHIK6,Chikaskia River
1408,CHIK6,Chikaskia River
1409,CHIK6,Chikaskia River
1410,CHIK6,Chikaskia River
1411,CHIK6,Chikaskia River
1412,CHIK6,Chikaskia River
1414,CHIK6,Chikaskia River
1415,CHIK6,Chikaskia River
1416,CHIK6,Chikaskia River
1417,CHIK6,Chikaskia River
1418,CHIK6,Chikaskia River
1419,CHIK6,Chikaskia River
1420,CHIK7,Chikaskia River
1421,CHIK7,Chikaskia River
1422,CHIK7,Chikaskia River
1424,CHIK7,Chikaskia River
1425,CHIK7,Chikaskia River
1426,CHIK7,Chikaskia River
1427,CHIK7,Chikaskia River
1428,CHIK7,Chikaskia River
1429,CHIK7,Chikaskia River
1436,CHIK8,Chikaskia River
1437,CHIK8,Chikaskia River
1438,CHIK8,Chikaskia River
1439,CHIK8,Chikaskia River
1440,CHIK8,Chikaskia River
1441,CHIK8,Chikaskia River
1442,CHIK8,Chikaskia River
1443,CHIK8,Chikaskia River
1444,CHIK8,Chikaskia River
1455,CHIK9,Chikaskia River
1456,CHIK9,Chikaskia River
1457,CHIK9,Chikaskia River
1458,CHIK9,Chikaskia River
1460,CHIK9,Chikaskia River
1461,CHIK9,Chikaskia River
1462,CHIK9,Chikaskia River
1463,CHIK9,Chikaskia River
1472,CHN1,North Fork Ninnescah River
1473,CHN1,North Fork Ninnescah River
1474,CHN1,North Fork Ninnescah River
1476,CHN1,North Fork Ninnescah River
1477,CHN1,North Fork Ninnescah River
1478,CHN1,North Fork Ninnescah River
1479,CHN1,North Fork Ninnescah River
1480,CHN1,North Fork Ninnescah River
